Ticker,Land,Nivå
HEIA.AS,Nederländerna,Kärna
UNA.AS,Nederländerna,Kärna
WKL.AS,Nederländerna,Kärna
AKZA.AS,Nederländerna,Kärna
ASM.AS,Nederländerna,Kärna
RAND.AS,Nederländerna,Kärna
KPN.AS,Nederländerna,Kärna
NN.AS,Nederländerna,Kärna
AGN.AS,Nederländerna,Kärna
BESI.AS,Nederländerna,Bred
IMCD.AS,Nederländerna,Bred
ARCAD.AS,Nederländerna,Bred
LIGHT.AS,Nederländerna,Bred
GLPG.AS,Nederländerna,Bred
AALB.AS,Nederländerna,Bred
FUR.AS,Nederländerna,Bred
TKH.AS,Nederländerna,Bred
VPK.AS,Nederländerna,Bred
JDEP.AS,Nederländerna,Bred
ABI.BR,Belgien,Kärna
UCB.BR,Belgien,Kärna
KBC.BR,Belgien,Kärna
GBLB.BR,Belgien,Kärna
AGS.BR,Belgien,Kärna
SOLB.BR,Belgien,Kärna
UMI.BR,Belgien,Kärna
ELI.BR,Belgien,Kärna
COLR.BR,Belgien,Kärna
ACKB.BR,Belgien,Kärna
BPOST.BR,Belgien,Bred
PROX.BR,Belgien,Bred
AED.BR,Belgien,Bred
COFB.BR,Belgien,Bred
WDP.BR,Belgien,Bred
MELE.BR,Belgien,Bred
D'IET.BR,Belgien,Bred
BAR.BR,Belgien,Bred
ENEL.MI,Italien,Kärna
ENI.MI,Italien,Kärna
ISP.MI,Italien,Kärna
UCG.MI,Italien,Kärna
STM.MI,Italien,Kärna
RACE.MI,Italien,Kärna
G.MI,Italien,Kärna
PRY.MI,Italien,Kärna
LDO.MI,Italien,Kärna
MB.MI,Italien,Kärna
TIT.MI,Italien,Kärna
AMP.MI,Italien,Kärna
SRG.MI,Italien,Kärna
TRN.MI,Italien,Kärna
BAMI.MI,Italien,Bred
BMED.MI,Italien,Bred
BPSO.MI,Italien,Bred
DIA.MI,Italien,Bred
IP.MI,Italien,Bred
MONC.MI,Italien,Bred
PST.MI,Italien,Bred
REC.MI,Italien,Bred
SFER.MI,Italien,Bred
UNI.MI,Italien,Bred
SAN.MC,Spanien,Kärna
IBE.MC,Spanien,Kärna
ITX.MC,Spanien,Kärna
BBVA.MC,Spanien,Kärna
TEF.MC,Spanien,Kärna
REP.MC,Spanien,Kärna
FER.MC,Spanien,Kärna
CABK.MC,Spanien,Kärna
AENA.MC,Spanien,Kärna
ACS.MC,Spanien,Kärna
AMS.MC,Spanien,Kärna
GRF.MC,Spanien,Kärna
MAP.MC,Spanien,Bred
SAB.MC,Spanien,Bred
ELE.MC,Spanien,Bred
RED.MC,Spanien,Bred
COL.MC,Spanien,Bred
LOG.MC,Spanien,Bred
ACX.MC,Spanien,Bred
ANA.MC,Spanien,Bred
BKT.MC,Spanien,Bred
MRL.MC,Spanien,Bred
NESN.SW,Schweiz,Kärna
ROG.SW,Schweiz,Kärna
NOVN.SW,Schweiz,Kärna
UBSG.SW,Schweiz,Kärna
ABBN.SW,Schweiz,Kärna
ZURN.SW,Schweiz,Kärna
CFR.SW,Schweiz,Kärna
SIKA.SW,Schweiz,Kärna
GIVN.SW,Schweiz,Kärna
LONN.SW,Schweiz,Kärna
HOLN.SW,Schweiz,Kärna
SCMN.SW,Schweiz,Kärna
SGSN.SW,Schweiz,Kärna
LOGN.SW,Schweiz,Kärna
SREN.SW,Schweiz,Bred
BAER.SW,Schweiz,Bred
ALCC.SW,Schweiz,Bred
SOON.SW,Schweiz,Bred
TEMN.SW,Schweiz,Bred
VACN.SW,Schweiz,Bred
CSGN.SW,Schweiz,Bred
DKSH.SW,Schweiz,Bred
BKW.SW,Schweiz,Bred
BELN.SW,Schweiz,Bred
EDP.LS,Portugal,Kärna
GALP.LS,Portugal,Kärna
JMT.LS,Portugal,Kärna
BCP.LS,Portugal,Kärna
SON.LS,Portugal,Kärna
REN.LS,Portugal,Kärna
CTT.LS,Portugal,Kärna
SEM.LS,Portugal,Kärna
ALTR.LS,Portugal,Bred
COR.LS,Portugal,Bred
NOS.LS,Portugal,Bred
NVG.LS,Portugal,Bred
PHAR.LS,Portugal,Bred
IPR.LS,Portugal,Bred
SAP.DE,Tyskland,Kärna
SIE.DE,Tyskland,Kärna
ALV.DE,Tyskland,Kärna
DTE.DE,Tyskland,Kärna
AIR.DE,Tyskland,Kärna
MUV2.DE,Tyskland,Kärna
MBG.DE,Tyskland,Kärna
BMW.DE,Tyskland,Kärna
VOW3.DE,Tyskland,Kärna
BAS.DE,Tyskland,Kärna
BAYN.DE,Tyskland,Kärna
DB1.DE,Tyskland,Kärna
DHL.DE,Tyskland,Kärna
RWE.DE,Tyskland,Kärna
IFX.DE,Tyskland,Kärna
ADS.DE,Tyskland,Kärna
HEN3.DE,Tyskland,Kärna
BEI.DE,Tyskland,Kärna
FRE.DE,Tyskland,Kärna
HEI.DE,Tyskland,Kärna
MTX.DE,Tyskland,Kärna
SY1.DE,Tyskland,Kärna
VNA.DE,Tyskland,Kärna
CON.DE,Tyskland,Kärna
PAH3.DE,Tyskland,Kärna
ENR.DE,Tyskland,Kärna
SHL.DE,Tyskland,Kärna
QIA.DE,Tyskland,Kärna
DBK.DE,Tyskland,Bred
CBK.DE,Tyskland,Bred
VOW.DE,Tyskland,Bred
PUM.DE,Tyskland,Bred
HNR1.DE,Tyskland,Bred
BNR.DE,Tyskland,Bred
G1A.DE,Tyskland,Bred
LEG.DE,Tyskland,Bred
EVK.DE,Tyskland,Bred
FME.DE,Tyskland,Bred
ZAL.DE,Tyskland,Bred
P911.DE,Tyskland,Bred
TLX.DE,Tyskland,Bred
JUN3.DE,Tyskland,Bred
FPE3.DE,Tyskland,Bred
NEM.DE,Tyskland,Bred
WCH.DE,Tyskland,Bred
SRT3.DE,Tyskland,Bred
KGX.DE,Tyskland,Bred
HAG.DE,Tyskland,Bred
RHM.DE,Tyskland,Bred
AZN.L,Storbritannien,Kärna
SHEL.L,Storbritannien,Kärna
HSBA.L,Storbritannien,Kärna
ULVR.L,Storbritannien,Kärna
RIO.L,Storbritannien,Kärna
BP.L,Storbritannien,Kärna
GSK.L,Storbritannien,Kärna
REL.L,Storbritannien,Kärna
LSEG.L,Storbritannien,Kärna
BA.L,Storbritannien,Kärna
DGE.L,Storbritannien,Kärna
NG.L,Storbritannien,Kärna
BATS.L,Storbritannien,Kärna
GLEN.L,Storbritannien,Kärna
BARC.L,Storbritannien,Kärna
LLOY.L,Storbritannien,Kärna
RR.L,Storbritannien,Kärna
CPG.L,Storbritannien,Kärna
AAL.L,Storbritannien,Kärna
PRU.L,Storbritannien,Kärna
IMB.L,Storbritannien,Kärna
VOD.L,Storbritannien,Kärna
STAN.L,Storbritannien,Kärna
EXPN.L,Storbritannien,Kärna
III.L,Storbritannien,Kärna
ANTO.L,Storbritannien,Kärna
SSE.L,Storbritannien,Kärna
NWG.L,Storbritannien,Kärna
AV.L,Storbritannien,Bred
MNG.L,Storbritannien,Bred
SDR.L,Storbritannien,Bred
HLMA.L,Storbritannien,Bred
WEIR.L,Storbritannien,Bred
SMIN.L,Storbritannien,Bred
IHG.L,Storbritannien,Bred
AUTO.L,Storbritannien,Bred
RKT.L,Storbritannien,Bred
PSON.L,Storbritannien,Bred
LAND.L,Storbritannien,Bred
BLND.L,Storbritannien,Bred
CNA.L,Storbritannien,Bred
UU.L,Storbritannien,Bred
SVT.L,Storbritannien,Bred
JD.L,Storbritannien,Bred
WPP.L,Storbritannien,Bred
SBRY.L,Storbritannien,Bred
TSCO.L,Storbritannien,Bred
TW.L,Storbritannien,Bred
PSN.L,Storbritannien,Bred
BKG.L,Storbritannien,Bred
IAG.L,Storbritannien,Bred
ENT.L,Storbritannien,Bred
MKS.L,Storbritannien,Bred
NOVO-B.CO,Danmark,Kärna
DSV.CO,Danmark,Kärna
MAERSK-B.CO,Danmark,Kärna
CARL-B.CO,Danmark,Kärna
VWS.CO,Danmark,Kärna
ORSTED.CO,Danmark,Kärna
COLO-B.CO,Danmark,Kärna
GMAB.CO,Danmark,Kärna
DANSKE.CO,Danmark,Kärna
PNDORA.CO,Danmark,Kärna
ROCK-B.CO,Danmark,Kärna
TRYG.CO,Danmark,Kärna
ISS.CO,Danmark,Bred
GN.CO,Danmark,Bred
AMBU-B.CO,Danmark,Bred
ZEAL.CO,Danmark,Bred
NKT.CO,Danmark,Bred
JYSK.CO,Danmark,Bred
TOP.CO,Danmark,Bred
FLS.CO,Danmark,Bred
ALK-B.CO,Danmark,Bred
BAVA.CO,Danmark,Bred
EQNR.OL,Norge,Kärna
DNB.OL,Norge,Kärna
KOG.OL,Norge,Kärna
TEL.OL,Norge,Kärna
MOWI.OL,Norge,Kärna
NHY.OL,Norge,Kärna
YAR.OL,Norge,Kärna
ORK.OL,Norge,Kärna
AKRBP.OL,Norge,Kärna
SALM.OL,Norge,Kärna
TOM.OL,Norge,Kärna
GJF.OL,Norge,Kärna
SUBC.OL,Norge,Bred
AUSS.OL,Norge,Bred
BAKKA.OL,Norge,Bred
BWLPG.OL,Norge,Bred
FRO.OL,Norge,Bred
MPCC.OL,Norge,Bred
ODF.OL,Norge,Bred
SCHA.OL,Norge,Bred
SCATC.OL,Norge,Bred
VAR.OL,Norge,Bred
NOKIA.HE,Finland,Kärna
KNEBV.HE,Finland,Kärna
SAMPO.HE,Finland,Kärna
FORTUM.HE,Finland,Kärna
UPM.HE,Finland,Kärna
NESTE.HE,Finland,Kärna
WRT1V.HE,Finland,Kärna
METSO.HE,Finland,Kärna
STERV.HE,Finland,Kärna
KESKOB.HE,Finland,Kärna
ELISA.HE,Finland,Kärna
ORNBV.HE,Finland,Kärna
KCR.HE,Finland,Bred
HUHTA.HE,Finland,Bred
VALMT.HE,Finland,Bred
TYRES.HE,Finland,Bred
TOKMAN.HE,Finland,Bred
QT.HE,Finland,Bred
PON1V.HE,Finland,Bred
CARGOTEC.HE,Finland,Bred
KEMIRA.HE,Finland,Bred
TIETO.HE,Finland,Bred
ABB.ST,Sverige,Kärna
ADDT-B.ST,Sverige,Kärna
AFRY.ST,Sverige,Kärna
AAK.ST,Sverige,Kärna
ALLEI.ST,Sverige,Kärna
ALFA.ST,Sverige,Kärna
ARJO-B.ST,Sverige,Kärna
ASSA-B.ST,Sverige,Kärna
ATCO-A.ST,Sverige,Kärna
AXFO.ST,Sverige,Kärna
AZN.ST,Sverige,Kärna
BALD-B.ST,Sverige,Kärna
BEIJ-B.ST,Sverige,Kärna
BETS-B.ST,Sverige,Kärna
BILL.ST,Sverige,Kärna
BIOT.ST,Sverige,Kärna
BOL.ST,Sverige,Kärna
BUFAB.ST,Sverige,Kärna
CAST.ST,Sverige,Kärna
CAT-B.ST,Sverige,Kärna
CINT.ST,Sverige,Kärna
DOM.ST,Sverige,Kärna
ELAN-B.ST,Sverige,Kärna
ELUX-B.ST,Sverige,Kärna
EMBRAC-B.ST,Sverige,Kärna
ENGCON-B.ST,Sverige,Kärna
EPI-A.ST,Sverige,Kärna
EQT.ST,Sverige,Kärna
ERIC-B.ST,Sverige,Kärna
ESSITY-B.ST,Sverige,Kärna
EVO.ST,Sverige,Kärna
FABG.ST,Sverige,Kärna
GETI-B.ST,Sverige,Kärna
HEXA-B.ST,Sverige,Kärna
HEXPOL-B.ST,Sverige,Kärna
HM-B.ST,Sverige,Kärna
HOLM-B.ST,Sverige,Kärna
HUSQ-B.ST,Sverige,Kärna
INDT.ST,Sverige,Kärna
INDU-C.ST,Sverige,Kärna
INVE-B.ST,Sverige,Kärna
KINV-B.ST,Sverige,Kärna
LAGR-B.ST,Sverige,Kärna
LATO-B.ST,Sverige,Kärna
LIFCO-B.ST,Sverige,Kärna
LUG.ST,Sverige,Kärna
MEKO.ST,Sverige,Kärna
MTRS.ST,Sverige,Kärna
MYCR.ST,Sverige,Kärna
NCC-B.ST,Sverige,Kärna
NDA-SE.ST,Sverige,Kärna
NIBE-B.ST,Sverige,Kärna
NOBI.ST,Sverige,Kärna
NOLA-B.ST,Sverige,Kärna
NP3.ST,Sverige,Kärna
NYF.ST,Sverige,Kärna
PEAB-B.ST,Sverige,Kärna
RATO-B.ST,Sverige,Kärna
SAAB-B.ST,Sverige,Kärna
SAND.ST,Sverige,Kärna
SCA-B.ST,Sverige,Kärna
SDIP-B.ST,Sverige,Kärna
SEB-A.ST,Sverige,Kärna
SECT-B.ST,Sverige,Kärna
SHB-A.ST,Sverige,Kärna
SINCH.ST,Sverige,Kärna
SKA-B.ST,Sverige,Kärna
SKF-B.ST,Sverige,Kärna
SOBI.ST,Sverige,Kärna
SSAB-A.ST,Sverige,Kärna
SWECO-B.ST,Sverige,Kärna
SWED-A.ST,Sverige,Kärna
SYNSAM.ST,Sverige,Kärna
TEL2-B.ST,Sverige,Kärna
TELIA.ST,Sverige,Kärna
THULE.ST,Sverige,Kärna
TREL-B.ST,Sverige,Kärna
VIT-B.ST,Sverige,Kärna
VOLV-B.ST,Sverige,Kärna
WALL-B.ST,Sverige,Kärna
WIHL.ST,Sverige,Kärna
